BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *   10.6.1.155/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.156/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.157/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.158/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.159/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.160/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.161/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.162/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.164/32    10.111.40.121                          0 13979 64486 ?
 *   10.6.1.165/32    10.111.40.121                          0 13979 65001 64820 64836 ?
 *   10.6.1.172/32    10.111.40.121                          0 13979 64901 64831 64900 64900 64900 64900 ?
 *   10.6.1.175/32    10.111.40.121                          0 13979 64582 ?
 *   10.6.1.176/32    10.111.40.121                          0 13979 64055 ?
 *   10.6.1.178/32    10.111.40.121                          0 13979 64607 ?
 *   10.6.1.180/32    10.111.40.121                          0 13979 64751 ?
 *   10.6.1.181/32    10.111.40.121                          0 13979 64292 ?
 *   10.6.1.182/32    10.111.40.121                          0 13979 64290 ?
 *   10.6.1.183/32    10.111.40.121                          0 13979 64302 ?
 *   10.6.1.184/32    10.111.40.121                          0 13979 64237 64880 64883 ?
 *   10.6.1.186/32    10.111.40.121                          0 13979 64237 64880 64883 ?
 *   10.6.1.187/32    10.111.40.121                          0 13979 64291 ?
 *   10.6.1.188/32    10.111.40.121                          0 13979 64293 ?
 *   10.6.1.189/32    10.111.40.121                          0 13979 64484 ?
 *   10.6.1.190/32    10.111.40.121                          0 13979 64298 ?
 *   10.6.1.192/32    10.111.40.121                          0 13979 64294 ?
 *   10.6.1.193/32    10.111.40.121                          0 13979 64314 ?
 *   10.6.1.194/32    10.111.40.121                          0 13979 64296 ?
 *   10.6.1.197/32    10.111.40.121                          0 13979 64237 64880 64883 ?
 *   10.6.1.202/32    10.111.40.121                          0 13979 64182 ?
 *   10.6.1.213/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.214/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.215/32    10.111.40.121                          0 13979 64306 ?
 *   10.6.1.216/32    10.111.40.121                          0 13979 65517 ?
 *   10.6.1.217/32    10.111.40.121                          0 13979 64030 ?
 *   10.6.1.221/32    10.111.40.121                          0 13979 64141 ?
 *   10.6.1.222/32    10.111.40.121                          0 13979 64748 ?
 *   10.6.1.225/32    10.111.40.121                          0 13979 64254 ?
 *   10.6.1.227/32    10.111.40.121                          0 13979 64258 ?
 *   10.6.1.228/32    10.111.40.121                          0 13979 64250 ?
 *   10.6.1.231/32    10.111.40.121                          0 13979 64259 64557 ?
 *   10.6.1.232/32    10.111.40.121                          0 13979 64259 64557 ?
 *   10.6.1.235/32    10.111.40.121                          0 13979 64901 64909 ?
 *   10.6.1.236/32    10.111.40.121                          0 13979 64375 ?
 *   10.6.1.237/32    10.111.40.121                          0 13979 64375 ?
 *   10.6.1.242/32    10.111.40.121                          0 13979 65028 ?
 *   10.6.1.243/32    10.111.40.121                          0 13979 65028 ?
 *   10.6.1.244/32    10.111.40.121                          0 13979 65028 ?
 *   10.6.1.245/32    10.111.40.121                          0 13979 64901 64831 64900 64900 64900 64900 64998 ?
 *   10.6.1.253/32    10.111.40.121                          0 13979 65040 ?
 *   10.6.2.11/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.12/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.13/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.14/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.15/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.16/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.17/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.18/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.19/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.20/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.21/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.22/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.23/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.24/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.25/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.26/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.27/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.28/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.29/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.30/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.31/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.32/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.33/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.34/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.35/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.36/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.37/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.38/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.39/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.40/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.41/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.42/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.43/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.44/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.45/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.46/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.47/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.48/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.49/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.50/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.51/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.52/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.53/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.54/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.55/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.56/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.57/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.58/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.59/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.60/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.61/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.62/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.63/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.64/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.65/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.66/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.67/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.68/32     10.111.40.121                          0 13979 64901 64906 ?
