
BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  10.38.90.0/24    10.82.28.3                             0 65179 64951 ?
 *>  10.38.151.0/25   10.82.28.1                             0 65179 64950 64030 ?
 *>  10.38.151.128/25 10.82.28.1                             0 65179 64950 64030 ?
 *>  10.39.48.0/25    10.82.28.1                             0 65179 64950 ?
 *>  10.39.87.0/25    10.82.28.3                             0 65179 64951 ?
 *>  10.39.133.128/25 10.82.28.1                             0 65179 64950 ?
 *>  10.39.180.0/25   10.82.28.1                             0 65179 64950 64105 ?
 *>  10.39.180.128/25 10.82.28.1                             0 65179 64950 64105 ?
 *>  10.39.196.0/25   10.82.28.3                             0 65179 64951 ?
 *>  10.39.196.128/25 10.82.28.3                             0 65179 64951 ?
 *>  10.39.202.128/25 10.82.28.3                             0 65179 64951 ?
 *>  10.41.0.0/27     10.82.28.3                             0 65179 64951 ?
 *>  10.41.0.128/27   10.82.28.1                             0 65179 64950 ?
 *>  10.41.2.96/27    10.82.28.1                             0 65179 64950 ?
 *>  10.41.3.192/27   10.82.28.1                             0 65179 64950 ?
 *>  10.41.4.0/27     10.82.28.3                             0 65179 64951 ?
 *>  10.41.4.64/27    10.82.28.1                             0 65179 64950 ?
 *>  10.41.4.96/27    10.82.28.1                             0 65179 64950 ?
 *>  10.42.8.0/28     10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.8.16/28    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.8.32/28    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.8.48/28    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.9.0/27     10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.9.32/27    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.9.64/27    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.9.128/26   10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.9.192/26   10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.10.0/25    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.10.128/25  10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.11.0/25    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.11.128/25  10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.12.0/25    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.12.128/25  10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.13.0/25    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.13.128/25  10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.14.0/26    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.14.64/26   10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.14.128/26  10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.14.192/26  10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.15.0/26    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.15.64/26   10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.15.128/26  10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.15.192/26  10.82.28.1                             0 65179 64950 65030 ?
 *>  10.42.120.0/28   10.82.28.1                             0 65179 64950 64449 ?
 *>  10.42.120.48/28  10.82.28.1                             0 65179 64950 64449 ?
 *>  10.42.120.128/27 10.82.28.1                             0 65179 64950 64449 ?
 *>  10.42.121.0/25   10.82.28.1                             0 65179 64950 64449 ?
 *>  10.42.121.128/25 10.82.28.1                             0 65179 64950 64449 ?
 *>  10.42.123.128/25 10.82.28.1                             0 65179 64950 64449 ?
 *>  10.42.124.0/25   10.82.28.1                             0 65179 64950 64449 ?
